"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "HTML", "XML", "JavaScript", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTodayClassesForAttendance.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 102
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTrainers.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 29
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetTwilioConfig.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 78
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetUnconfirmedPayments.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 63
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useGetUsers.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useInvoicesFilters.ts", "TypeScript", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 250
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useListTwilioSenders.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 74
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useProfileImage.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 118
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useRecordPayment.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 46
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useRecreateDraftApplication.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 51
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useRemoveProgramPlanFromTimetable.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useRtoProfileImage.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 118
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSendEmail.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 61
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSendOfferLetter.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 45
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useStudentFiles.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 102
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useStudentSubmissions.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 179
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useStudentsFilters.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 19, 117
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSubjectAssignments.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 155
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSubmissionReadiness.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 15, 156
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSubmitApplication.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 49
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useSyncTheme.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 91
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useTablePreferences.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 119
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateAgent.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateApplication.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 35
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateMailTemplate.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 69
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateProfile.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 50
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateProgram.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 27
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateRto.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 57
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateSubject.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateTimetable.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 33
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpdateTwilioSender.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertEnrollmentClassAttendance.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 48
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertPaymentPlanTemplate.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 58
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertProgramPlan.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 67
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertProgramPlanClass.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 55
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertProgramPlanSubject.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 52
